,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Merlangius_merlangus_juvenile,Merlangius_merlangus_adult,YearQuarter
5402,NS-IBTS,1991,1,25-01-1991 06:36:00 AM,59.6833,1.35,102,0.0,24.534256828816584,1
5403,NS-IBTS,1991,1,25-01-1991 07:33:00 AM,54.7,6.5,41,73.82033757316535,26.680871031240027,1
5404,NS-IBTS,1991,1,25-01-1991 07:44:00 AM,55.1167,0.9167,63,59.68659188734518,90.4792932475596,1
5405,NS-IBTS,1991,1,25-01-1991 09:30:00 AM,54.9333,1.0167,57,18.87876208540002,11.436485834960978,1
5406,NS-IBTS,1991,1,25-01-1991 09:53:00 AM,59.3167,1.45,98,1.1188592798648358,50.99633402909412,1
5407,NS-IBTS,1991,1,25-01-1991 11:28:00 AM,54.2833,5.6,42,16.284723576443056,5.0460947879988725,1
5408,NS-IBTS,1991,1,25-01-1991 12:50:00 PM,59.2667,0.7667,124,0.8842511319818607,115.94582511181618,1
5409,NS-IBTS,1991,1,25-01-1991 02:22:00 PM,54.4167,1.5167,54,16.519411540328942,41.037512250140594,1
5410,NS-IBTS,1991,1,25-01-1991 02:43:00 PM,54.25,4.6833,48,31.254543026013234,153.99031345159307,1
5411,NS-IBTS,1991,1,25-01-1991 03:54:00 PM,58.9333,0.8167,126,0.43190686375962084,65.69408184989369,1
5414,NS-IBTS,1991,1,26-01-1991 06:31:00 AM,59.3667,2.15,116,4.545246399455737,490.8453306137485,1
5415,NS-IBTS,1991,1,26-01-1991 07:37:00 AM,54.85,2.5,22,1.3878097705857095,0.9576804932842773,1
5416,NS-IBTS,1991,1,26-01-1991 07:45:00 AM,53.75,3.4667,38,25.49974489999191,14.761916767866406,1
5417,NS-IBTS,1991,1,26-01-1991 09:14:00 AM,55.0167,2.7167,21,0.4662036304443389,0.2692706321483224,1
5418,NS-IBTS,1991,1,26-01-1991 10:36:00 AM,58.8,2.5333,110,0.0,0.0,1
5419,NS-IBTS,1991,1,26-01-1991 11:05:00 AM,54.25,2.7333,42,18.746915955988698,8.942222146502948,1
5420,NS-IBTS,1991,1,26-01-1991 12:17:00 PM,55.0667,3.2167,24,0.6131053347413417,0.0,1
5421,NS-IBTS,1991,1,26-01-1991 01:18:00 PM,58.8667,3.15,110,0.9366495286335375,91.17484345827438,1
5422,NS-IBTS,1991,1,26-01-1991 02:08:00 PM,54.3667,3.5167,47,8.035708315587296,118.16030456817829,1
5423,NS-IBTS,1991,1,26-01-1991 02:41:00 PM,54.75,3.4333,40,2.8123547293412634,1.4189080519457917,1
5424,NS-IBTS,1991,1,26-01-1991 04:38:00 PM,59.2833,3.1333,134,0.15008284460699658,116.72155541131261,1
5425,NS-IBTS,1991,1,26-01-1991 05:29:00 PM,54.65,2.7667,23,1.5223105288028251,0.39581059058216184,1
5427,NS-IBTS,1991,1,27-01-1991 07:44:00 AM,54.7667,3.7333,47,1.0403351966585157,1.513083014931051,1
5428,NS-IBTS,1991,1,27-01-1991 07:46:00 AM,55.55,0.8333,78,2.017794520642409,660.8870876882255,1
5429,NS-IBTS,1991,1,27-01-1991 09:34:00 AM,55.6167,1.2167,76,1.5548363692083376,34.12666668415192,1
5430,NS-IBTS,1991,1,27-01-1991 10:28:00 AM,55.2333,3.4833,30,0.4949242844156043,0.18503663559543038,1
5431,NS-IBTS,1991,1,27-01-1991 12:54:00 PM,55.4333,1.7667,66,395.402966254835,1200.3073688726474,1
5432,NS-IBTS,1991,1,27-01-1991 01:24:00 PM,55.2667,2.6,39,10.70725253140842,155.98259984718283,1
5433,NS-IBTS,1991,1,27-01-1991 01:56:00 PM,58.1167,3.65,85,3.7247643789153355,262.5534123429224,1
5434,NS-IBTS,1991,1,27-01-1991 03:28:00 PM,55.55,2.3,67,15.023393262315652,18.113761613923803,1
5435,NS-IBTS,1991,1,27-01-1991 05:18:00 PM,55.2667,1.45,59,26.812470527315863,0.49026357904817336,1
5436,NS-IBTS,1991,1,27-01-1991 05:37:00 PM,58.2,2.7333,66,4.060657580027669,2.138465146599292,1
5441,NS-IBTS,1991,1,28-01-1991 06:26:00 AM,56.25,1.45,83,1.0033845463605973,101.35975207324613,1
5442,NS-IBTS,1991,1,28-01-1991 07:38:00 AM,53.9167,2.65,37,17.272120429217303,832.838276949865,1
5443,NS-IBTS,1991,1,28-01-1991 09:22:00 AM,55.7833,1.4333,79,6.39710196355564,163.90094985093074,1
5444,NS-IBTS,1991,1,28-01-1991 09:39:00 AM,54.1333,2.9167,45,5.067241726281028,2723.1127185896257,1
5445,NS-IBTS,1991,1,28-01-1991 12:26:00 PM,55.75,0.55,95,2.151187439366951,2344.176819847067,1
5446,NS-IBTS,1991,1,28-01-1991 12:42:00 PM,54.0833,3.4667,41,23.751059611896256,171.34256571547533,1
5447,NS-IBTS,1991,1,28-01-1991 03:26:00 PM,53.7333,3.5333,34,6.441634564204609,13.442617608281486,1
5448,NS-IBTS,1991,1,28-01-1991 04:35:00 PM,56.2333,0.5,90,3.5046571344105257,2321.082051536013,1
5455,NS-IBTS,1991,1,29-01-1991 06:24:00 AM,56.8,0.4833,92,0.5750666193854772,51.66754402612315,1
5456,NS-IBTS,1991,1,29-01-1991 07:37:00 AM,53.0667,2.7167,32,1.1986586827418249,2.4423718050261427,1
5457,NS-IBTS,1991,1,29-01-1991 08:50:00 AM,52.9667,2.5667,35,0.5783554602768489,0.6723075109126334,1
5458,NS-IBTS,1991,1,29-01-1991 09:25:00 AM,56.7667,1.3667,97,13.01559884419246,305.49814222366166,1
5459,NS-IBTS,1991,1,29-01-1991 12:19:00 PM,57.1833,1.45,97,9.464759412139456,118.09736963466472,1
5460,NS-IBTS,1991,1,29-01-1991 02:25:00 PM,57.0667,-1.7333,110,17.24522283703046,80.52339034760527,1
5461,NS-IBTS,1991,1,29-01-1991 03:16:00 PM,57.3,0.6667,89,10.036498708593385,997.8266748785819,1
5462,NS-IBTS,1991,1,29-01-1991 05:25:00 PM,57.6167,0.5833,89,0.23744814850695847,45.033682921707516,1
5463,NS-IBTS,1991,1,29-01-1991 07:02:00 PM,56.6667,-1.25,67,22.193833135510207,6.036498597341094,1
5464,NS-IBTS,1991,1,29-01-1991 09:14:00 PM,59.3167,-0.4,135,0.0,478.90605565684996,1
5465,NS-IBTS,1991,1,29-01-1991 09:51:00 PM,56.6,-0.8833,70,27.728848818925556,15.939735940196936,1
5466,NS-IBTS,1991,1,30-01-1991 07:00:00 AM,57.8,-0.6167,116,7.518696344184954,36.66494936796986,1
5467,NS-IBTS,1991,1,30-01-1991 07:21:00 AM,60.1667,-0.3667,126,0.0,140.25763724425255,1
5468,NS-IBTS,1991,1,30-01-1991 09:57:00 AM,58.25,-0.45,126,5.363493359908844,1235.7690271863798,1
5469,NS-IBTS,1991,1,30-01-1991 11:03:00 AM,60.8167,-0.4667,110,0.0,3.031886882981871,1
5470,NS-IBTS,1991,1,30-01-1991 01:19:00 PM,58.3167,-1.4,90,17.965532626903716,605.9415095247739,1
5471,NS-IBTS,1991,1,30-01-1991 02:43:00 PM,61.1667,-0.9833,152,0.0,45.15472105324876,1
5472,NS-IBTS,1991,1,30-01-1991 04:05:00 PM,57.4,4.2,68,0.0,0.0,1
5473,NS-IBTS,1991,1,30-01-1991 05:15:00 PM,57.7333,-1.3,92,6.150555255923486,97.09616621366096,1
5474,NS-IBTS,1991,1,30-01-1991 07:25:00 PM,56.3,-0.9833,67,75.30743556018008,10.83806392997413,1
5475,NS-IBTS,1991,1,30-01-1991 10:03:00 PM,60.8167,-1.6833,121,0.0,13.194573817454026,1
5476,NS-IBTS,1991,1,31-01-1991 06:23:00 AM,57.8333,-2.5333,85,40.172742581415584,7.932127596760271,1
5477,NS-IBTS,1991,1,31-01-1991 07:28:00 AM,60.0,-1.55,128,0.0,1283.6773485603626,1
5478,NS-IBTS,1991,1,31-01-1991 08:00:00 AM,58.2,4.5333,230,0.0,0.0,1
5479,NS-IBTS,1991,1,31-01-1991 08:23:00 AM,55.75,0.2,78,1.7947040880885181,145.43619145896008,1
5480,NS-IBTS,1991,1,31-01-1991 08:40:00 AM,57.85,-3.25,62,514.9655090909417,152.1780995323398,1
5481,NS-IBTS,1991,1,31-01-1991 10:45:00 AM,56.0,0.1667,85,0.7486163152132049,31.250591969062054,1
5482,NS-IBTS,1991,1,31-01-1991 10:57:00 AM,58.1667,-3.1667,63,77.2291433720147,36.17521996240315,1
5483,NS-IBTS,1991,1,31-01-1991 12:05:00 PM,57.8,4.6333,78,0.9753360650060893,116.51137805316336,1
5484,NS-IBTS,1991,1,31-01-1991 01:27:00 PM,58.3333,-2.5833,57,27.63043609554682,55.7996809575208,1
5485,NS-IBTS,1991,1,31-01-1991 04:20:00 PM,56.5,1.1667,88,1.7198745347038515,107.68056460528162,1
5486,NS-IBTS,1991,1,31-01-1991 04:30:00 PM,57.8333,3.7167,70,0.22377185597296714,1.9197276595325383,1
5487,NS-IBTS,1991,1,31-01-1991 05:25:00 PM,58.65,-1.5333,113,1.3263353761297199,40.76969662683182,1
5488,NS-IBTS,1991,1,31-01-1991 05:55:00 PM,59.9667,-1.55,116,0.487604470874508,106.01512988658521,1
5489,NS-IBTS,1991,1,31-01-1991 07:46:00 PM,56.35,1.2833,85,2.2273960692820953,34.57345713478807,1
5490,NS-IBTS,1991,1,31-01-1991 10:32:00 PM,59.7167,-0.1167,140,0.9651889002440055,128.4363180212528,1
5067,NS-IBTS,1991,1,01-02-1991 06:28:00 AM,58.7333,-0.5833,130,1.1885358977566132,898.3081149413617,1
5068,NS-IBTS,1991,1,01-02-1991 07:25:00 AM,59.3,-1.5,97,0.0,2957.6136449978694,1
5069,NS-IBTS,1991,1,01-02-1991 07:55:00 AM,57.9167,0.3333,130,0.5716496902974679,12.15026491153587,1
5070,NS-IBTS,1991,1,01-02-1991 08:20:00 AM,55.55,1.65,78,44.10396942760033,212.10588988939458,1
5071,NS-IBTS,1991,1,01-02-1991 09:03:00 AM,59.2667,-1.5,97,22.68193915573413,2689.223402488356,1
5072,NS-IBTS,1991,1,01-02-1991 10:00:00 AM,59.3167,-0.3667,136,0.0,260.8841445651033,1
5073,NS-IBTS,1991,1,01-02-1991 11:08:00 AM,58.2667,0.6667,145,0.5949503037615784,14.41617124525289,1
5074,NS-IBTS,1991,1,01-02-1991 11:21:00 AM,55.5667,2.2167,72,81.68610145890125,246.5819962033218,1
5075,NS-IBTS,1991,1,01-02-1991 12:47:00 PM,59.7,-0.2667,138,0.0,534.0246864868593,1
5076,NS-IBTS,1991,1,01-02-1991 01:47:00 PM,55.4667,2.1833,52,2.1635180164731374,4.799298143426021,1
5077,NS-IBTS,1991,1,01-02-1991 02:30:00 PM,58.5,1.3667,122,1.6350088750959382,66.83338087830678,1
5078,NS-IBTS,1991,1,01-02-1991 04:06:00 PM,59.7167,-0.5833,130,0.6991886950594602,686.4356393199363,1
5079,NS-IBTS,1991,1,02-02-1991 06:25:00 AM,60.4333,0.1667,139,0.0,636.3255210914486,1
5080,NS-IBTS,1991,1,02-02-1991 07:35:00 AM,58.2,1.5667,97,16.082723267092128,208.7024895177361,1
5081,NS-IBTS,1991,1,02-02-1991 08:52:00 AM,60.7,0.7167,153,0.17479717376486506,200.8496953192774,1
5082,NS-IBTS,1991,1,02-02-1991 10:30:00 AM,57.9167,1.5833,90,4.844327654823591,384.5831540914917,1
5083,NS-IBTS,1991,1,02-02-1991 11:37:00 AM,61.1167,0.6833,164,0.0733743462051785,110.21519100408877,1
5084,NS-IBTS,1991,1,02-02-1991 01:40:00 PM,57.65,2.2833,77,12.099007416641943,138.83907378624698,1
5085,NS-IBTS,1991,1,02-02-1991 02:09:00 PM,61.25,1.25,155,0.26219576064729755,232.41182797079966,1
5086,NS-IBTS,1991,1,02-02-1991 04:10:00 PM,57.3333,2.4,75,5.905705610982929,259.53269187152546,1
5087,NS-IBTS,1991,1,02-02-1991 05:20:00 PM,61.2833,2.05,157,0.0,15.676226049940317,1
5088,NS-IBTS,1991,1,03-02-1991 06:25:00 AM,60.2167,1.3833,123,0.26864981012898403,116.14767654584725,1
5089,NS-IBTS,1991,1,03-02-1991 07:30:00 AM,56.8333,2.4667,67,5.32205962265763,34.45101373680634,1
5090,NS-IBTS,1991,1,03-02-1991 08:21:00 AM,56.9667,0.55,90,3.20396865464236,214.92745981387495,1
5091,NS-IBTS,1991,1,03-02-1991 09:07:00 AM,60.6167,1.45,142,0.0,328.3962350938853,1
5092,NS-IBTS,1991,1,03-02-1991 12:15:00 PM,57.0833,3.3333,61,9.647325702598595,0.9531025036614599,1
5093,NS-IBTS,1991,1,03-02-1991 01:14:00 PM,57.2333,1.45,95,3.2298509928650923,121.25538133602359,1
5094,NS-IBTS,1991,1,03-02-1991 01:15:00 PM,60.6667,2.3,128,0.0,284.5157938233565,1
5095,NS-IBTS,1991,1,03-02-1991 03:37:00 PM,56.8333,3.3667,61,0.4806721287701614,0.5080451304743927,1
5096,NS-IBTS,1991,1,03-02-1991 07:58:00 PM,57.3167,2.35,81,2.3991124020091847,127.20395381747767,1
5097,NS-IBTS,1991,1,04-02-1991 06:38:00 AM,59.8667,1.4,113,0.2080471994129332,31.36377505668541,1
5098,NS-IBTS,1991,1,04-02-1991 07:30:00 AM,56.5667,4.9667,58,13.326696372572593,0.6323218649601943,1
5099,NS-IBTS,1991,1,04-02-1991 08:04:00 AM,57.0667,-1.7167,94,2.5661881761232577,5.765683350384059,1
5100,NS-IBTS,1991,1,04-02-1991 08:20:00 AM,56.7833,2.5833,71,2.764702640157883,1.5221722243810585,1
5101,NS-IBTS,1991,1,04-02-1991 09:45:00 AM,56.75,4.8667,56,3.7291620931027003,0.3251119438949085,1
5102,NS-IBTS,1991,1,04-02-1991 10:33:00 AM,60.25,2.5833,103,1.7528563110035102,9.424783105552525,1
5103,NS-IBTS,1991,1,04-02-1991 12:13:00 PM,56.4833,2.6333,71,2.1639586322964512,1.1720425089261082,1
5104,NS-IBTS,1991,1,04-02-1991 12:30:00 PM,56.6667,5.3333,53,11.380856730492116,1.9332888663194618,1
5105,NS-IBTS,1991,1,04-02-1991 01:30:00 PM,52.6,4.5,19,1.671484991125875,0.0,1
5106,NS-IBTS,1991,1,04-02-1991 02:20:00 PM,56.65,5.6667,52,4.675085624825373,1.1252144273586482,1
5107,NS-IBTS,1991,1,04-02-1991 02:30:00 PM,60.2667,3.1333,140,0.0,1.6787329453318502,1
5108,NS-IBTS,1991,1,04-02-1991 03:55:00 PM,52.8667,4.5,22,7.882598041440765,2.1581047433699316,1
5109,NS-IBTS,1991,1,04-02-1991 04:13:00 PM,56.6833,6.1,45,1.90833998904102,4.953289600087923,1
5110,NS-IBTS,1991,1,04-02-1991 04:32:00 PM,56.7833,3.4333,68,13.678314778483962,1.919289295150762,1
5111,NS-IBTS,1991,1,04-02-1991 05:15:00 PM,60.5667,3.0833,162,0.08739858688243253,96.02054020417305,1
5112,NS-IBTS,1991,1,04-02-1991 08:36:00 PM,57.0,3.6333,62,0.9727459275069575,0.18805220193878605,1
5113,NS-IBTS,1991,1,05-02-1991 06:30:00 AM,59.7,3.1833,158,0.0,106.6898697597672,1
5114,NS-IBTS,1991,1,05-02-1991 07:22:00 AM,53.1667,4.75,19,9.412129802253688,0.8313242791823923,1
5115,NS-IBTS,1991,1,05-02-1991 07:50:00 AM,57.0333,7.7333,30,26.862203923410636,8.396750283508606,1
5116,NS-IBTS,1991,1,05-02-1991 08:24:00 AM,56.1667,3.6667,69,8.571607146616337,2.041512608071245,1
5117,NS-IBTS,1991,1,05-02-1991 09:02:00 AM,59.7667,2.5167,120,0.45479996385849397,70.12639105308756,1
5118,NS-IBTS,1991,1,05-02-1991 09:05:00 AM,56.2833,-2.0333,50,42.696861500134695,1.0242984965767947,1
5119,NS-IBTS,1991,1,05-02-1991 09:39:00 AM,53.3167,4.35,30,2.250821063226555,768.1159310091298,1
5120,NS-IBTS,1991,1,05-02-1991 10:34:00 AM,55.9667,3.6667,65,40.231410706558066,26.497314730568952,1
5121,NS-IBTS,1991,1,05-02-1991 10:40:00 AM,57.1333,7.25,52,23.303481835208817,8.646699342222458,1
5122,NS-IBTS,1991,1,05-02-1991 12:20:00 PM,57.9333,5.45,161,0.7863029806610597,72.82467407347296,1
5123,NS-IBTS,1991,1,05-02-1991 12:45:00 PM,59.3,2.3,129,1.3295060383291457,330.9263611396395,1
5124,NS-IBTS,1991,1,05-02-1991 12:52:00 PM,53.35,3.6833,30,10.457803025911648,11.717543361739814,1
5125,NS-IBTS,1991,1,05-02-1991 12:58:00 PM,56.3333,-1.3667,60,299.4777050240477,1.7575362923188425,1
5126,NS-IBTS,1991,1,05-02-1991 01:33:00 PM,55.9333,4.1167,52,1.0488091017591645,1.6445318855009599,1
5127,NS-IBTS,1991,1,05-02-1991 01:45:00 PM,57.2667,6.7,72,4.86523713852853,15.347593540932838,1
5128,NS-IBTS,1991,1,05-02-1991 02:31:00 PM,53.1,3.5833,27,8.107545973120393,61.572315930315106,1
5129,NS-IBTS,1991,1,05-02-1991 03:43:00 PM,56.0167,4.1833,55,11.772450270146118,8.013138191918532,1
5130,NS-IBTS,1991,1,05-02-1991 03:55:00 PM,57.45,5.4333,82,1.667246675228591,45.31020872176013,1
5131,NS-IBTS,1991,1,05-02-1991 04:14:00 PM,59.3,1.2833,115,0.6812430805440701,41.82199736110709,1
5132,NS-IBTS,1991,1,05-02-1991 04:30:00 PM,57.3667,6.3,77,4.355438579578658,35.08555672234697,1
5133,NS-IBTS,1991,1,05-02-1991 04:33:00 PM,52.85,3.4833,31,9.384481911752578,192.43425772973976,1
5134,NS-IBTS,1991,1,05-02-1991 04:55:00 PM,56.2667,-0.5667,75,34.728735569233855,9.147542071825345,1
5135,NS-IBTS,1991,1,05-02-1991 08:45:00 PM,57.2167,6.2167,67,0.5592416661802229,30.657468015005435,1
5136,NS-IBTS,1991,1,06-02-1991 06:35:00 AM,59.2,0.55,134,1.2235802163540554,1030.5590756330118,1
5137,NS-IBTS,1991,1,06-02-1991 07:25:00 AM,52.6167,3.35,32,1.6213811604118415,15.955647266701904,1
5138,NS-IBTS,1991,1,06-02-1991 07:37:00 AM,56.6167,7.8667,26,46.21041978203826,7.136817124486206,1
